분류군ID,학명,국명,분류계급,이명여부,명명자,명명년도,최초명명자,최초명명년도,설명,,
1000698,Carex lanceolata,그늘사초,Species,Ready(Synonym),,,,,,,
1000699,Carex lasiocarpa,벌사초,Species,Ready(Synonym),,,,,,,
1000700,Carex lasiolepis,난사초,Species,Ready(Synonym),,,,,산 위 암석지대의 건조한 곳에서 자라는다년초로서 근경은 짧고 총생한다. 잎은 황록색이며 너비 3~5mm 로서 잔털이 있고특히 가장자리와 뒷면에 많으며 잎집에 잎새가 달리고 갈색이지만 일부분에 붉은빛이 돈다. 꽃줄기는 가늘며 길이5~15cm로서 짧은 털이 있고 밑으로 처진다. 소수는 3~4개이며 정소수는 수꽃이고 곤봉상으로 길게 자라며 측소수는 암꽃이고 길이 5~7mm. 너비 2~3.5mm로서 도란형이며 긴 대가 있고 첫째 소수는 뿌리에서 나온 것같이 보인다. 자화영은 장타원형이며 적갈색이 돌고 털이 드문드문 있다. 과포는 도란상 장타원형이며 4?4.5_로서 맥이약간 있고 짧은 털이 있으며 대가 있고 윗부분이 짧은 부리로 되며 끝부분은 자줏빛이 돌고 얕게 2개로 갈라진다.수과는 팽팽하게 들어 있으며 세모진 넓은 난형이고 대와 더불어 길이 3.5mm 정도로서 끝이 뚜렷하지 않은 반상（盤狀）으로 된다. 암술대는 곧추서며 밑부분이 약간 굵고 암술머리는 3개로 갈라진다.,,
1000701,Carex laticeps,갯보리사초,Species,Ready(Synonym),,,,,,,
1000702,Carex latisquamea,털잎사초,Species,Ready(Synonym),,,,,강원도 이북의 습지에서 자라는 다년초로서 높이 40~ 75cm이며 짧게 벋는 가지가 있고 꽃줄기와 잎에 털이 있으며 윗부분에만 털이 있을 때도 있다. 잎은 너비 3~6_로서 3맥이 뚜렷하고 털은 잎집에 더욱 많으며 밑부분의 잎집은잎새가 없고 붉은빛이 도는 갈색 또는 자주색이며 털이 있다. 소수는 3~4개이고 정소수는 수꽃이며 선형이고 길이 1.5~2.5cm. 지름 2mm 정도로서 대가 있으며 그 밖의 것은 모두 암꽃으로서 잎집이 있다. 자화영은 난형이고 끝이 뾰족하며 황갈색이지만 뒷면은 녹색이고 길이 3?4mm로서 뚜렷하지 않은 3맥이 있다. 과포는 세모진 난형이며 맥이 많고 비스듬히 달리며 굳은 막질（膜質）이고 길이 5~6_로서 갈색이며 털이 없다. 부리 끝은 2개로 갈라지고 열편 안쪽은 톱니모양이다. 수과는 팽팽하게 들어 있으며 세모진도란형이고 암술대는 밑부분이 굵지 않으며 암술머리는 3개이다.,,
1000703,Carex laxa,실이삭사초,Species,Ready(Synonym),,,,,"북부지방 고원지대의 습지에서 자라는 다년초로서 가는 지하경이 벋으며 꽃줄기는높이 20~40cm로서 가늘고 밋밋하다. 잎은 회록색이며 부드럽고 뒷면에 젖꼭지 같은돌기가 있으며 너비 1.5?2.5_로서 분백색（粉白色）이고 밑부분의 잎집은 연한갈색이다. 소수는 2?3개로서 서로 떨어져 있으며 정소수는 수꽃이지만 때로는 암꽃이섞여 있고 선형이며 길이 1.5?2.5cm, 지름 1.5mm 정도로서 황갈색이다. 측소수는 암꽃이지만 끝에 수꽃이 약간 있을 때도 있고 장타원형이며 길이 0.7?2cm. 지름 4mm정도로서 긴 대가 있어 밑으로 처진다. 첫째 포는 꽃줄기보다 짧고 잎 같으며 긴 잎집이 있고 자화영은 넓은 난형이며 둔두（鈍頭） 또는 원두（圓頭）로서 구릿빛이 도는적색이고 뒷면 녹색부에 1맥이 있다. 과포는 포영과 길이가 비슷하며 곧추서고 두꺼운 막질이며 회록색이고 길이 3.5mm 정도로서 털은 없으나 맥이 많으며 세모진 난형이고 젖꼭지 같은 작은 돌기가 밀포하며 부리는 짧고 끝이 밋밋하다. 수과는 헐겁게 들어 있으며 길이 2mm 정도로서 세모진 도란형이고 암술대는 과포 밖으로 약간나오며 밑부분이 약간 굵고 암술머리는 3개이다.",,
1000704,Carex leiorhyncha,산괭이사초,Species,Ready(Synonym),,,,,,,
1000705,Carex lenta,줄사초,Species,Ready(Synonym),,,,,"숲속에서 자라는 상록다년초로서 총생하며 높이 40~70cm 이고 큰 포기로 되며 윗부분이 처진다. 잎은 너비2?3mm로서 굳고 잎집은 짙은 흑갈색이며 한 마디에서 1?3개의 가지가 갈라지고 일부가 다시 갈라져서 많은 소수가 달린다. 소수는 타원형이며 길이 5?20mm, 지름 3?4mm로서 윗부분에 수꽃. 밑부분에 암꽃이 달리지만 중앙부의 것은 모두 암꽃이며 대가 있다. 포는 잎 같고 밑부분이 잎집으로 되며 자화영은 난형으로서 적갈색이고 얇다.과포는 넓은 난상 타원형이며 양쪽이 볼록하고 길이 3~3.5mm로서 맥이 많으며 가시 같은 털이 밀생하고 부리는짧으며 끝은 막질로서 얄게 2개로 갈라진다. 수과는 팽팽하게 들어 있고 난상 원형이며 길이 1.5mm 정도로서 양쪽으로 편평해지고 암술대는 밑부분이 굵으며 암술머리는 2개이다. 이와 비숫하지만 보다 작고 옆으로 벋는 줄기가있는 것을 294+. 홍노줄사초, var. sendaica T. Κουαμα 라고 한다.",,
1000706,Carex leucochlora,청사초,Species,Ready(Synonym),,,,,,,
1000707,Carex ligulata,갈사초,Species,Ready(Synonym),,,,,,,
1000708,Carex limosa,대택사초,Species,Ready(Synonym),,,,,"북부지방의 습지에서 자라는 다년초로서 높이 20~45cm이고 근경이 옆으로 범으며 포복ス 1（匍匐枝）가 있다. 잎은젖꼭지 같은 돌기가 밀포하고 너비 1.5?2.5_로서 백록색이며 밑부분의 잎집은 적갈색이고 그물같이 된다. 소수는2?3개가 떨어져서 달리며 정소수（頂小?）는 수꽃이고 선형이며 길이 2?2.5cm로서 대가 있고 적갈색이며 측소수（側小?）는 암꽃이지만 끝부분에 수꽃이 약간 달리고 난형또는 장타원형이며 길이 15~20mm, 지름 4~6mm로서 가는 대가 있어 밑으로 처진다. 첫째 포는 침형이고 자화영은난형이며 동갈색（銅褐色）으로서 끝이 뾰족하고 뒷면에 1맥이 있다. 과포（果苞）는 세모진 난형 또는 타원형이며 길이3.5-4mm. 너비 2~2.7_로서 가는 맥이 있고 회청색이며젖꼭지 같은 돌기가 밀포하고 밑부분이 둥글며 짧은 대가있고 부리는 짧으며 끝이 구리색이고 약간 오그라든다. 수과는 헐겁게 들어 있으며 길이 2mm 정도로서 세모가 지고암술대는 과포 밖으로 나오며 밑부분이 약간 굵고 암술머리는 3개이다.",,
1000709,Carex lithophila,바위사초,Species,Ready(Synonym),,,,,"냇가의 풀밭에서 자라는 다년초로서 높이 20?50cm 이고근경이 옆으로 벋는다. 잎은 편평하며 너비 2.5~3_로서연한녹색이고 밑부분의 잎집은 갈색이며 잘게 갈라진다.수상화서는 난형 또는 좁은 난형이고 8~10개의 소수가 거의 밀착하며 길이 1.5?3cm로서 포가 없다. 소수는 붉은빛이 도는 혹갈색이고 길이 5~8_로서 중앙부에 수꽃만달리는 것이 많으나 다른 것은 윗부분에 수꽃, 밑부분에암꽃이 달린다. 자화영은 난형이며 끝이 뾰족하고 붉은빛이 도는 흑갈색으로서 길이 4mm 이며 뒷부분은 색깔이 연하거나 녹색이고 3맥이 있으며 윗가장자리가 흰 막질이다.과포는 편평하고 넓은 난형이며 길이 4?8mm로서 양쪽에톱니가 있는 좁은 날개가 있고양면에 맥이 많으며 밑부분이둥글고 짧은 대가 있으며 윗부분은 점점 좁아져서 2개로 얕게 갈라지고 앞쪽에 홈이 진다.수과는 렌즈형이며 길이 2mm로서 팽팽하게 과포에 차고 암술대는 밑부분이 약간 굵으며암술머리는 2개이다.",,
1000710,Carex livida,동백사초,Species,Ready(Synonym),,,,,함남 동백산 정상부의 습지에서 자라고 높이 20~30cm 정도이며 지하경이 벋어간다. 잎은 곧고 편평하며 회색이 돌고 너비 2~3_이다. 밑부분의 잎집은 갈회색이며 줄이있으나 점차 섬유상으로 갈라진다. 소수는 2?4개가 가깝게 달려서 서고 끝에 달린 것은 수소수로서 적갈색이고 길이 1 ? 1.5cm 이며 옆에 달린 것은 암소수로서 원주상이고꽃이 드문드문 달리며 짧은 대가 있고 길이 1 ?2cm 이다.밑의 포엽은 잎 같으며 소수보다 길고 밑의 잎집이 얕게갈라진다. 자화영은 흑갈색이며 둔한 타원형이고 떨어지며과포는 다소 길고 곧추서며 회록색이고 밋밋하며 3모진 난형으로 길이 4mm이고 맥이 희미하며 점이 밀포하고 짧은대가 있다. 부리는 검고 밋밋하며 끝이 갑자기 좁아진다.수과는 헐겁게 들어 있으며 3모진 넓은 도란형이고 길이2.5_이다. 암술대는 곧으며 암술머리는 3개이다.,,
1000711,Carex loliacea,호밀사초,Species,Ready(Synonym),,,,,,,
1000712,Carex lyngbyei,산이삭사초,Species,Ready(Synonym),,,,,,,
1000713,Carex maackii,타래사초,Species,Ready(Synonym),,,,,"경기도 이북의 습지에서 자라는 다년초로서 높이 40~60cm이고 짧은 근경에서 총생하며 꽃이 피지 않는 대는 꽃이 진 다음 자라다가 옆으로 넘어져 뿌리가 내린다. 잎은 너비 2~3_로서 밝은녹색이고 밑부분의 잎집은 잎새가 없으며 주름살이 지지 않고 갈색으로서 섬유처럼 갈라진다. 소수는 6~14개이며 난상 원형이고길이 5~8_로서 밑부분에 수꽃이 달리며 모여서 길이 3~5cm, 지름 1cm 의 수상화서를 형성하고 보통 포가 없다. 자화영은 난형이며 길이 2mm 로서 연한갈색이고 뒷면 녹색부에 1?3맥이 있다. 과포는 편난형（扁卵形）이며 밖으로 약간 젖혀지고 길이 3.5_로서 양쪽가장자리에 좁은 날개가 있으며 윗가장자리가 잔톱니처럼 되고 뒷면 중앙에 맥이 많으며 표면에 뚜렷하지 않은 짧은 대가 있고 윗부분이 좁아져 2개로 갈라지며 끝부분이 흰 막질이다. 수과는 약간 팽팽하게 들어 있고다소 둥근 난형이며 길이 1.7mm로서 옆은 렌즈형이고암술대는.곧으며 밑부분이 약간 굵어지고 암술머리는 2개이다.",,
1000714,Carex mackenziei,큰산사초,Species,Ready(Synonym),,,,,,,
1000715,Carex maculata,무늬사초,Species,Ready(Synonym),,,,,,,
1000716,Carex makinoensis,바위포기사초,Species,Ready(Synonym),,,,,,,
1000717,Carex mandshurica,만주사초,Species,Ready(Synonym),,,,,,,
1000718,Carex matsumurae,왕밀사초,Species,Ready(Synonym),,,,,,,
1000719,Carex maximowiczii,왕비늘사초,Species,Ready(Synonym),,,,,,,
1000720,Carex metallica,흰이삭사초,Species,Ready(Synonym),,,,,"한라산 계곡의 물가 암석지에서 자라는 다년초로서 총생하며 높이 30?70cm이고큰 포기로 된다. 잎은 卜2개씩 달리며 너비 3~&nm로서 3맥이 뚜렷하고 밑부분의 잎집은 색깔이 연하지만 혹갈색 섬유로 갈라진다. 소수는 5~10개（15개）로서 윗부분의 것은 접근하며 밑부분의 것은 떨어져 있고 정소수는 곤봉상 원주형이며 윗부분에 암꽃, 밑부분에 수꽃이 달리지만 수꽃만으로서 선형인 것도 있다. 측소수는암꽃만 있는 것과 밑부분에 수꽃이 있는 것이 있고 원주형이며 길이 2?5cm. 지름 6_로서 중앙부에서는 한 마디에 1?2개가 달리기도 하고 밑으로 처진다. 첫째 포는 꽃줄기보다 길며 밑부분에 잎집이 있고 자화영은 좁으며 난형이고 길이 4mm 정도로서 1 맥이 있으며 끝이 뾰족하고 까락 끝이다. 과포는 포영보다 2배 정도 길며비스듬히 달리고 얇으며 연한 황록색 바탕에 자갈색 반점이 있고 길이 7mm 정도로서 맥과 더불어 짧은 털이 약간 돋는다. 부리는 양쪽 가장자리가 거칠며 끝부분은흰 막질이고 2개로 갈라진다. 수과는 헐겁게 들어 있으며 길이 2mm 정도로서 세모진 넓은 난형이고 암술대는 밑부분이 굵지 않으며 굽고 암술머리는 3개이다.",,
1000721,Carex meyeriana,진들검정사초,Species,Ready(Synonym),,,,,함북 부령 근처의 습한 풀밭에서 자라는 다년초로서 큰 포기를 형성하고 높이30~50cm이다. 잎은 곧추서며 너비 l~1.5mm로서 세모가 지고 밑부분의 잎집은 잎과 주맥이 없으며 흑갈색으로서 그물을 형성한다. 소수는 2~3개이지만 응소수（雄小穗）는 1개뿐인 때도 있고 끝에 달리며 선형이고 길이 2?3cm로서 대가 거의 없으며 자소수（雌小?）는 옆에 달리고 길이 5?10mm로서 거의 둥글다. 자화영은 난상 장타원형이며 길이 3.5mm로서 검은 자갈색 또는 흑갈색이고 끝이 둔하며 뒷면녹색부에 희미한 3맥이 있고 가장자리와 끝부분이 흰 막질이다. 과포는 세모진 난상 타원형이며 길이 3?3.5_로서 연한 회록색이고 젖꼭지 같은 돌기가 밀생하며연한갈색 반점이 밀생하는 수가 많고 가는 맥이 있으며 부리〔嘴〕는 짧고 끝이 거의밋밋하며 흑갈색이다. 수과는 헐겁게 들어 있고 길이 2mm로서 세모진 난상 장타원형이며 암술대는 밖으로 약간 나오고 암술머리는 3개이다.,,
1000722,Carex mira,꼬랑사초,Species,Ready(Synonym),,,,,,,
1000723,Carex misandra,얼룩사초,Species,Ready(Synonym),,,,,,,
1000724,Carex mitrata,겨사초,Species,Ready(Synonym),,,,,"목포 및 지도의 그늘진 풀밭에서 자라는 다년초로서총생하고 높이 10~30cm이다. 잎은 편평하거나 접히며너비 1.5?2mm이고 밑부분의 잎집은 황갈색으로서 거의 갈라지지 않는다. 소수는 3?4개로서 끝부분에 달리며 정소수는 수꽃이고 길이 5~10mm로서 좁은 선형이며 측소수는 암꽃이고 길이 5~12mm, 지름 2mm 로서첫째 소수에 뚜렷한 대가 있다. 포는 침형이며 밑부분이통으로 되고 자화영은 도란형이며 연한녹색 또는 연한갈색이고 끝이 둥글며 가장자리가 흰 막질이고 길이 1.5_로서 뒷면의 녹색부에 있는 1맥이 끝에 닿지 못한다. 과포는 포영보다 약간 길며 난형이고 잔맥이 있으며길이 2.5_로서 잔털이 있거나 거의 없고 회록색（灰綠色〉이며 부리가 약간 밖으로 굽고 끝이 밋밋하다.수과는 팽팽하게 들어 있으며 세모진 난형이고 길이1.5mm 로서 끝부분이 쟁반같이 둥글며 암술대는 밑부분이 굵고 암술머리는·3개이다.",,
1000725,Carex mollicula,애기흰사초,Species,Ready(Synonym),,,,,,,
1000726,Carex mollissima,염낭사초,Species,Ready(Synonym),,,,,,,
1000727,Carex montana,,Species,Ready(Synonym),,,,,,,
1000728,Carex nervata,양지사초,Species,Ready(Synonym),,,,,,,
1000729,Carex neurocarpa,괭이사초,Species,Ready(Synonym),,,,,"산기슭의 습한 풀밭과 논둑에서 비교적 흔히 자라는 다년초로서 높이 30~60cm 이며 근경이 짧고총생한다. 잎은 너비 2~3mm 로서 편평하며 황록색이다. 화수（花?）는 소수가 밀집하여 난상 원주형으로 되고 길이 2.5~6cm, 너비 1cm 정도로서적갈색이 돌며 포는 사방으로 퍼지고 잎 같으며밑부분이 퍼진다. 소수는 난상 원형이고 길이 4?8mm 로서 윗부분에 수꽃이 약간 달리며 밑부분에 암꽃이 달린다. 자화영은 난형이고 길이 3.5mm정도로서 끝에 짧은 까락이 있으며 구리색의 줄이 있고 얇다. 과포는 포영보다 길며 길이 4mm정도로서 편난형（扁卵形） 이고 겉에 맥이 많으며가장자리의 중앙 윗부분에 날개가 있고 날개에는치아상의 톱니가 있으며 긴 부리 끝이 2개로 갈라진다. 수과는 편평한 난상 타원형이고 헐겁게들어 있으며 길이 1mm 정도로서 짧은 대가 있다.암술대는 곧고 끝이 2개로 갈라진다.",,
1000730,Carex norvegica,검정타래사초,Species,Ready(Synonym),,,,,,,
1000731,Carex nubigena,,Species,Ready(Synonym),,,,,,,
1000732,Carex ochrochlamys,애기이삭사초,Species,Ready(Synonym),,,,,,,
1000733,Carex okamotoi,지리대사초,Species,Ready(Synonym),,,,,"중부 이남의 숲 가장자리에서 자라는 다년초로서 근경은 가늘고 옆으로 벋으며 꽃줄기는 높이 15~20cm로서가늘고 둔하게 세모가 지며 밋밋하다. 잎은 꽃줄기보다길고 젖혀지며 넓은 선형이고 너비 4~7_로서 편평하며 표면은 황록색, 뒷면은 흰빛이 돌고 설편（舌片）은 길이 卜2mm이며 위쪽이 갈라진다. 소수는 4~5개가 떨어져 달려 있고 정소수는 수꽃이며 길이 8?10mm로서도피침형이고 측소수는 좁은 타원형이며 꽃자루가 길고수꽃과 암꽃이 달리며 길이 10?20mm 이고 암꽃은 적으며 드문드문 달린다. 포는 초형（?形）으로서 녹색이고끝이 거의 잎 같지 않으며 자화영은 타원형이고 색깔이연하며 뒷면에 3맥이 있다.과포는 넓은 도란형이고 회록색이며 거의 곧추서고 평활한 막질로서 털이 없으며길이 2.5mm 정도이고 맥이있으며 양끝이 좁고 부리는갑자기 좁아지며 끝부분이 백색이고 밋밋하다. 수과는 넓은 타원체로서 털이 없으며암술대는 밑부분이 굵고 암술머리는 3개이다.",,
1000734,Carex onoei,바늘사초,Species,Ready(Synonym),,,,,,,
1000735,Carex oxyandra,언덕사초,Species,Ready(Synonym),,,,,임지 또는 풀밭에서 다소 자라며 총생하고 높이 10?50cm이며 혼히 벋는 줄기가 있다. 잎은 편평하고 너비 2~3_로서 짙은녹색 또는 밝은녹색이며 밑부분의 잎집은 짙은적색이고 그물이나 섬유처럼 잘게 갈라진다. 소수W、?）는3?6개로서 곧추서며 윗부분의 것은 서로 접촉하지만 밑부분의 것은 떨어지고 정소수（頂小?）는 수꽃이며 선형이고길이 5~8_로서 갈자색（褐紫色〉이며 측소수（側小?）는대가 없고 거의 둥글며 지름 5~7mm 이다. 포는 밑부분이터지고 자화영은 검은 갈자색이며 길이 2.5mm 정도로서 장타원상 난형이고 뒷면에 1맥이 있으며 가장자리가 흰 막질이다. 과포（果苞〉는 포영（苞穎）보다 길고 도란형 또는 장타원형이며 길이 2.5-3.5_로서2개의 능선을 제외하고는 맥이없고 잔털이 있으며 황록색으로서 위로 올라가면서 자주색 반점이 있고 부리는 짧으며 2개로 갈라진다. 수과（瘦果）는 팽팽하게 들어 있고 길이 1.5mm정도로서 세모진 타원형이며 암술대〔花柱〕는 짧고 밑부분이 굵으며 암술머리〔柱頭〕는 3개로갈라진다.,,
1000736,Carex papulosa,쇠낚시사초,Species,Ready(Synonym),,,,,,,
1000737,Carex parciflora,,Species,Ready(Synonym),,,,,,,
1000738,Carex pauciflora,산바늘사초,Species,Ready(Synonym),,,,,"북부지방 고원지대의 물이끼 틈에서 자라는 다년초로서 높이 10~15cm이고 근경이 옆으로 벋는다. 잎은 홈이 있으며 지름 1mm 정도로서 황록색이고 밑부분의 잎집은 황갈색 또는 적갈색이다. 소수는 끝에 1개 달리며 수꽃은 윗부분에 2?3개, 암꽃은 밑부분에 2?4개 달리고 길이 6-8mm, 지름 1.5~2mm로서 성숙하면 과포가뒤로 젖혀진다. 자화영은 떨어지기 쉬우며 난상 피침형이고 길이 5mm 정도로서 갈색이 돌며 끝이 뾰족하고 윗부분 가장자리가 흰 막질이며 뒷면 중앙부는 녹색이고1맥이 있다. 과포는 좁은 피침형이며 황록색이고 길이 6~6.5_로서 맥이 많으며긴 부리의 끝은 딱딱하고 색깔이 연하며 갈라지지 않는다. 수과는 헐겁게 들어 있고길이 2.5mm 정도로서 세모진 장타원형이며 암술대는 물결형으로 굽고 암술머리는3개로 갈라진다.",,
1000739,Carex paxii,대구사초,Species,Ready(Synonym),,,,,대구 및 창원지방의 풀밭과 임지에서 자라는 다년초로서 높이 40?60cm 이며 짧은 근경에서 총생한다. 잎은 너비 1.5~2.5_로서 편평하고 밑부분의 잎집이 섬유처럼 갈라진다. 소수는 윗부분에 수꽃이 달리며 밑부분에 암꽃이 달리고 길이 4~6_로서 모여서 1개의 수상화서로 되며 수상화서는 길이 2?6cm. 지름 1cm 정도이다. 포는 영과 같이 작고 자화영은 넓은 난형이며 길이 2~3_이고 끝이 뾰족하며 연한갈색이고 뒷면녹색부에 3맥이 있다. 과포는 포영보다 길며 옆으로 비스듬히 퍼지고 길이 3.5~4mm로서 난상 원추형이며 잿빛을 띤 황록색이고 맥이 많으며 윗부분에 짙은 적갈색의 튀어나온 반점이 있다. 윗부분 양쪽에는 좁은 날개가 있고 중앙 이상에 잔톱니가 있으며부리〔嘴〕는 편평하고 2개로 갈라진다. 수과는 헐겁게 들어 있으며 길이 1.3mm 정도로서 난형이고 암술대는 곧으며 끝이 2개로 갈라진다.,,
1000740,Carex pediformis,넓은잎그늘사초,Species,Ready(Synonym),,,,,,,
1000741,Carex phacota,비늘사초,Species,Ready(Synonym),,,,,"수원 및 남쪽 섬의 습지에서 자라는 다년초로서 높이 20-60cm이고 총생한다. 잎은 너비 2?6_로서 분록색이며 밑부분의 잎집은 잎이 없고 갈색이며 그물 같은 것이 약간 생긴다. 소수는 3?5개이고 응소수는 끝에, 자소수는 옆에 달리며 윗부분에 수꽃이 약간 달리는 수도 있고 길이 2~6cm.지름 3~4mm로서 원주형이며 긴 대가 있어 옆으로 처진다.첫째 포는 잎 같고 꽃줄기보다 길게 자라며 밑부분이 터진다. 자화영은 좁은 도란형이고 구릿빛이 돌며 둔두 또는 원두로서 까락 끝이고 까락을 제외한 길이가 2mm이며 뒷면녹색부에 3맥이 있고 가장자리는색깔이 연하다. 과포는 포영보다길며 렌즈형이고 길이 2.5~3.5mm로서 맥이 거의 없으며 젖꼭지 같은 돌기가 밀생하고 계피색. 회록색 또는 흑갈색이다. 부리는 짧으며 끝이 백색이고 약간 파진 듯하다. 수과는 헐겁게 들어 있으며둥근 렌즈형이고 암술대는 곧으며끝이 2개로 갈라지고 일찍 떨어진다.",,
1000742,Carex phaeothrix,조이삭사초,Species,Ready(Synonym),,,,,,,
1000743,Carex pilosa,털사초,Species,Ready(Synonym),,,,,"금강산 이북의 숲속에서 자라는 다년초로서 높이 30~60cm이고 근경（根莖）이 길게 옆으로 벋는다. 잎은 꽃이 진 다음자라며 너비 5? 10mm 로서 털이 드문드문 있는 것이 있고단면은 Μ자형이며 짙은녹색이고 밑부분의 잎집은 잎이 없으며 자갈색으로서 흔히 털이 있고 표면에 옆으로 달린 주름살이 있다. 소수는 3?4개이며 정소수（頂小穗）는 수꽃이고 길이 1 ?3cm로서 곤봉상 피침형이며 측소수（側小?）는암꽃이고 길이 2?3cm, 지름 5_로서 원주형이며 꽃이 드문드문 달리고 밑부분의 것은 긴 대가 있어 끝이 처진다. 포는 잎 같으며 흔히 털이 있고 밑부분이 긴 통같이 되며 자화영 （雌花穎）은 난형이고 자갈색이며 길이 3~5_로서 뒷면에 3맥이 있고 끝이 뾰족하다. 과포（果苞）는 곧추서며 길이 4~5mm로서 연한녹색이고 털이 있기도 하며 세모진 난형이고 맥이 있으며 윗부분은 갑자기 좁아져서 젖혀진 긴부리로 되고 끝은 적갈색이며 비스듬히 갈라진다. 수과는 과포에 가득 차고 길이 2~2.5mm 로서 세모진 도란형 （倒卵形）이며 암술대는 곧고 밑부분이 굵으며 끝이 3개로 갈라진다.",,
1000744,Carex planiculmis,그늘흰사초,Species,Ready(Synonym),,,,,"울릉도 ·지리산 및 북부지방의 숲속에서 자라는 다년초로서높이 40~60αη이고 벋는 줄기와 예리한 능선이 있다. 잎은 편평하며 너비 5~ 10mm 로서 밝은녹색이고 밑부분의 잎집은 황갈색이며 갈라진다. 소수는 4?5개로 서로 접근하여 서고 정소수는 수꽃이며 길이 3?5cm 이고 측소수는 암꽃이며 원주형이고 길이 2~5ση, 지름 4~5mm로서 밑부분의 것은 대가 있으며 때로는 밑으로 처진다. 첫째 포는 꽃줄기보다 길고 윗부분의 것은 작아지며 밑이 벌어지고 자화영은 좁은 난형이며 끝이 뾰족하고 길이 2mm 정도로서 연한녹색이지만 혼히 황갈색이 돌며 뒷면 녹색부에 3맥이 있다. 과포는 거의 수평으로 퍼지고 녹색이며 털이 없고 길이 3.5~4mm 로서 세모진 타원상 난형이며 맥이 많다. 부리는 길고 약간젖혀지거나 곧으며 끝은 흰 막질로서 2개로 갈라진다. 수과는 헐겁게 들어 있고 길이 1.5mm 정도로서 세모진 넓은 난형이며 암술대는 밑부분이 굵고 곧으며 끝이3개로 갈라진다.",,
1000745,Carex polyschoena,가지청사초,Species,Ready(Synonym),,,,,그늘진 풀밭에서 자라는 다년초로서 근경에서 총생하며 높이 30~50cm 이다. 잎은 너비 1.5~3? 이고 밑부분의 잎집은 흑갈색으로서 다소 섬유처럼 갈라진다. 소수는 2~4개가 곧추서며 길이 1.5~2.5cm이고 정소수는수꽃이며 선형이고 색깔이 연하며 나머지는 암꽃이고서로 떨어져 있다. 첫째 포는 잎 같으며 소수보다 길고밑부분이 통 같으며 자화영은 연한녹색이고 도란형으로서 끝이 둥글며 까락 끝이다. 과포는 거의 곧추서고 둥근 도란형이며 길이 3-3.5mm로서 맥과 털이 있고 윗부분이 갑자기 좁아져서 짧은 부리로 되며 끝이 뾰족하고 얄게 2개로 갈라진다. 수과는 둥근 도란형이며 길이2mm 이내로서 끝이 쟁반 같고 암술대는 짧으며 곧고암술머리는 3개로 갈라진다.,,
1000746,Carex pseudochinensis,햇사초,Species,Ready(Synonym),,,,,습지에서 자라는 다년초로서 총생하고 높이 30~60cm이며 벋는 줄기가 있다. 잎은 편평하고 너비 2.5?4mm이며 밑부분의 잎집은 잎이 없고 자주색이며 그물처럼갈라진다. 소수는 3~5개가 서로 접근하거나 첫째 소수는 짧은 대가 있어 떨어지고 정소수는 수꽃이며 선형이고 길이 1.5?4cm로서 자주색이며 측소수는 암꽃이고길이 1.5?4cm 로서 짧은 원주형이다. 첫째 포는 잎 같으며 밑부분이 터지고 자화영은 장타원상 피침형으로서적자색이지만 가장자리는 흰 막질이다. 과포는 포영보다 길며 비스듬히 달리고털이 없으며 맥이 적고 길이 3.5?4mm 로서 둔하게세모진 장타원상 난형이며윗부분이 점점 좁아져서 부리로 되고 끝은 흰 막질로서 2개로 갈라진다. 수과는헐겁게 들어 있으며 세모진넓은 난형이고 암술대는 곧으며 끝이 3개로 갈라진다.,,
1000747,Carex pseudocuraica,덩굴사초,Species,Ready(Synonym),,,,,,,
1000748,Carex pumila,좀보리사초,Species,Ready(Synonym),,,,,,,
1000749,Carex quadriflora,녹빛사초,Species,Ready(Synonym),,,,,,,
1000750,Carex raddei,화산곱슬사초,Species,Ready(Synonym),,,,,수원 근처의 습지와 북부지방에서 자라는 다년초로서높이 30~40αη 이며 작은 포기를 형성한다. 잎은 너비 2.5?4mm로서 회청색이고 뒷면에는 젖꼭지 같은 돌기가있으며 밑부분의 잎집은 잎이 없고 자줏빛이 도는 적색이며 그물처럼 갈라지고 때로는 윗부분에 털이 약간 있다. 윗부분의 1~3개의 소수는 수꽃이며 인접해 있고 길이 2~3cm로서 선형이며 혈적색이고 자소수（雌小穗）는2?3개이며 응소수（雄小?）로부터 떨어지고 짧은 원통형이며 길이 2?4cm로서 서고 첫째 소수는 대가 길다.포는 잎 같으며 꽃줄기보다 짧고 밑부분이 짧은 통 같다. 자화영은 장타원상 난형이며 색깔이 연하고 뒷면 녹색부는 넓으며 3맥이 있다. 과포는 포영보다 길고 피침상（披針狀） 통형（筒形）이며 비스듬히 달리고 길이 6?9mm로서 털이 없으며 연한 황록색이고 희미한 맥이 있다. 부리는 길며 끝이 깊게 갈라지고 열편은 벌어지지않으며 좁은 피침형이다. 수과는 약간 헐겁게 들어 있고세모진 넓은 도란형이며 암술대는 길고 꾸불꾸불하며밑부분이 약간 굵고 끝이 3개로 갈라진다.,,
